Boiler,Fan,Water,Leak,workType,responseTime,processingDuration,resolutionDuration,start,end,requested,missing_item,class
True,False,True,True,corrective,]1-2],]0-1],]1-2],True,True,False,False,Panne chauffage
False,False,False,False,corrective,]1-2],]1-2],]2-4],True,True,True,False,Panne chauffage
False,False,True,True,corrective,]0-1],]0-1],]1-2],True,True,False,False,Panne chauffage
False,False,True,True,corrective,]16-24],]0-1],]16-24],True,True,True,False,Panne fuite d'eau
False,True,True,True,corrective,]16-24],]0-1],]16-24],True,True,False,False,Panne fuite d'eau
False,True,False,False,corrective,]4-16],]0-1],]4-16],True,True,True,False,Panne caisson VMC
False,False,False,False,corrective,]72--[,]1-2],]72--[,True,True,True,False,Panne chauffage
False,False,False,False,corrective,0,0,0,False,False,True,False,Panne chauffage
False,False,False,False,corrective,]1-2],]1-2],]2-4],True,True,False,False,Panne chauffage
False,False,False,False,corrective,]48-72],]0-1],]72--[,True,True,True,False,Panne chauffage
True,False,True,False,corrective,]24-48],]1-2],]24-48],True,True,True,False,Panne chauffage
True,True,False,False,preventive,0,]0-1],]0-1],True,True,False,False,Visite entretien chauffage collectif
False,True,False,False,corrective,0,]0-1],]0-1],True,True,False,False,Panne caisson VMC
False,False,True,True,corrective,0,]0-1],]0-1],True,True,False,False,Panne ECS
False,False,False,True,corrective,]1-2],]1-2],]2-4],True,True,False,True,Panne chauffage
True,False,False,False,corrective,]0-1],]1-2],]1-2],True,True,False,True,Panne chauffage
False,False,True,True,corrective,0,0,0,False,False,False,False,Panne fuite d'eau
False,False,True,True,preventive,]1-2],]1-2],]2-4],True,True,False,False,Visite entretien chauffage collectif
False,True,False,False,preventive,]0-1],]0-1],]0-1],True,True,False,False,Visite entretien chauffage collectif
False,False,False,True,corrective,0,]1-2],]1-2],True,True,False,False,Panne fuite d'eau
True,True,True,True,corrective,0,]0-1],]0-1],True,True,False,False,Panne chauffage
False,False,False,True,corrective,0,]1-2],]1-2],True,True,False,False,Panne ECS
False,False,False,False,preventive,0,0,0,False,False,False,False,Visite entretien chauffage collectif
True,True,False,True,preventive,]48-72],]0-1],]48-72],True,True,False,False,Visite de contrôle/entretien
True,False,True,True,corrective,0,]1-2],]1-2],True,True,True,False,Panne chauffage
True,True,False,False,preventive,]72--[,]2-4],]72--[,True,True,False,False,Visite entretien chauffage collectif
False,False,False,True,corrective,]1-2],]1-2],]2-4],True,True,False,False,Panne fuite d'eau
False,False,False,False,preventive,]1-2],]0-1],]1-2],True,True,False,False,Visite entretien chauffage collectif
False,False,False,True,corrective,]24-48],]0-1],]24-48],True,True,False,False,Panne fuite d'eau
False,True,False,False,preventive,0,]0-1],]0-1],True,True,False,False,Visite de contrôle/entretien
False,False,True,True,corrective,]1-2],]0-1],]1-2],True,True,True,False,Panne chauffage
True,False,False,False,preventive,]48-72],]1-2],]48-72],True,True,True,False,Visite entretien chauffage collectif
False,False,True,True,corrective,]2-4],]0-1],]2-4],True,True,False,False,Panne fuite d'eau
True,False,True,True,corrective,]1-2],]0-1],]2-4],True,True,True,False,Panne chauffage
False,False,True,True,corrective,]48-72],]2-4],]72--[,True,True,False,False,Panne chauffage
