Leak,criticalLevel,workType,responseTime,processingDuration,resolutionDuration,planned,replanned,postponed,client_planned,missing_item,canceled,partial_repair,class
False,minus-one,corrective,]72--[,]0-1],]72--[,False,True,False,False,False,False,False,Visite entretien ventilation ind
False,zero,corrective,]1-2],]0-1],]1-2],True,False,False,False,False,False,False,Panne chauff ind
False,zero,corrective,]16-24],]0-1],]16-24],True,False,True,False,False,False,False,Panne chauff ind
False,zero,corrective,]72--[,]0-1],]72--[,False,False,True,True,False,True,False,Panne chauff ind
False,minus-one,preventive,]72--[,]2-4],]72--[,False,True,False,True,False,True,False,Visite entretien convecteur
False,minus-one,preventive,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Visite entretien convecteur
False,minus-one,corrective,]4-16],]0-1],]4-16],False,False,False,True,False,False,False,Panne Robinetterie
False,zero,corrective,]72--[,]72--[,]72--[,False,True,False,True,False,False,False,Panne chauff ind
True,minus-one,preventive,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Panne VMC sanitaire
False,minus-one,preventive,]72--[,]0-1],]72--[,False,False,False,False,False,True,False,Visite entretien convecteur
False,minus-one,preventive,]72--[,0,]72--[,True,False,False,False,False,False,False,Visite entretien convecteur
False,zero,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,True,False,Panne chauff ind
False,zero,corrective,]24-48],]2-4],]24-48],False,False,False,True,False,False,False,Panne chauff ind
True,minus-one,none,]48-72],]0-1],]48-72],False,False,False,True,False,False,False,Panne Robinetterie
False,zero,corrective,]72--[,]1-2],]72--[,True,True,False,False,False,False,True,Panne chauff ind
True,minus-one,none,]16-24],]1-2],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,zero,corrective,]16-24],0,]16-24],True,False,False,False,False,False,False,Panne chauff ind
False,minus-one,preventive,]72--[,]72--[,]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,minus-one,preventive,]72--[,]72--[,]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,minus-one,corrective,]72--[,]16-24],]72--[,False,True,False,True,False,False,False,Panne Robinetterie
False,minus-one,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
False,zero,corrective,]4-16],]0-1],]4-16],True,True,True,False,True,False,True,Panne chauff ind
False,zero,corrective,]72--[,]72--[,]72--[,False,True,False,False,False,False,False,Panne chauff ind
True,zero,corrective,]48-72],]1-2],]48-72],True,True,False,False,False,False,False,Panne chauff ind
False,minus-one,preventive,]72--[,]48-72],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,minus-one,preventive,]72--[,]72--[,]72--[,False,True,False,True,False,True,False,Visite entretien convecteur
False,minus-one,preventive,]72--[,]1-2],]72--[,True,False,False,False,False,False,False,Visite entretien convecteur
True,zero,corrective,]24-48],]0-1],]24-48],False,True,False,True,False,False,True,Panne chauff ind
