criticalLevel,workType,responseTime,processingDuration,resolutionDuration,planned,replanned,postponed,client_planned,missing_item,canceled,partial_repair,Class
-1,corrective,]72--[,0,]72--[,True,True,False,False,False,False,False,Panne Robinetterie
-1,preventive,]24-48],0,]24-48],True,False,False,False,False,False,False,Visite entretien convecteur
-1,corrective,]72--[,]0-1],]72--[,False,False,True,True,False,False,False,Panne VMC sanitaire
-1,none,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Panne Robinetterie
-1,preventive,]24-48],]72--[,]72--[,True,True,False,False,False,False,False,Panne Robinetterie
-1,none,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Panne VMC sanitaire
0,corrective,]4-16],]0-1],]4-16],True,False,False,False,False,True,False,Panne chauff ind
-1,corrective,]72--[,]2-4],]72--[,True,True,False,False,False,False,False,Panne VMC sanitaire
0,corrective,]16-24],]1-2],]16-24],True,False,False,False,False,False,False,Panne chauff ind
-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,True,Panne Robinetterie
-1,preventive,]16-24],]0-1],]24-48],False,False,False,True,False,False,False,Panne Robinetterie
-1,corrective,]72--[,]4-16],]72--[,False,True,False,True,True,False,True,Panne Robinetterie
0,corrective,]48-72],]0-1],]72--[,False,False,False,True,False,False,False,Panne chauff ind
-1,preventive,]24-48],]1-2],]24-48],True,False,False,False,False,False,False,Panne Robinetterie
0,corrective,]72--[,]4-16],]72--[,False,True,False,True,False,False,True,Panne chauff ind
-1,corrective,]72--[,]4-16],]72--[,False,True,False,True,False,True,False,Panne Robinetterie
0,corrective,]48-72],]1-2],]48-72],True,False,False,False,False,False,False,Panne chauff ind
-1,corrective,]4-16],]0-1],]4-16],False,False,False,True,False,False,False,Fuite d'eau urgence réelle
-1,preventive,]72--[,]1-2],]72--[,True,False,False,False,False,False,False,Panne VMC sanitaire
-1,none,]72--[,]1-2],]72--[,False,False,False,True,False,False,True,Panne Robinetterie
1,corrective,]48-72],]0-1],]72--[,True,True,True,False,False,True,False,Panne Robinetterie
-1,none,]48-72],]1-2],]48-72],True,False,False,False,False,False,False,Panne Robinetterie
-1,preventive,]48-72],]1-2],]72--[,False,False,False,True,False,False,False,Panne Robinetterie
0,corrective,]72--[,0,]72--[,False,True,False,True,False,True,False,Panne chauff ind
-1,none,]24-48],]2-4],]24-48],False,False,False,True,False,False,False,Panne Robinetterie
-1,corrective,]72--[,]4-16],]72--[,True,True,False,False,False,True,False,Panne Robinetterie
