Radiator,Boiler,Water,Leak,criticalLevel,workType,responseTime,processingDuration,resolutionDuration,start,planned,replanned,postponed,occupant_absent,requested,Class
False,True,False,False,5,corrective,]16-24],]1-2],]16-24],True,True,True,False,False,True,Dépannage
False,False,True,False,3,corrective,]48-72],]0-1],]48-72],True,True,True,False,False,True,TMH - dépannage chauffage
False,False,False,False,1,corrective,]72--[,]2-4],]72--[,True,True,False,False,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,0,]4-16],]4-16],True,False,True,False,False,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,]16-24],0,]16-24],False,True,False,False,False,False,TMH - visite entretien ballon solaire
False,False,False,False,0,preventive,]16-24],0,]16-24],False,True,False,False,False,False,TMH - visite entretien ballon solaire
False,False,True,False,1,corrective,]72--[,]4-16],]72--[,True,False,True,False,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,]72--[,]48-72],]72--[,True,True,False,False,False,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ballon thermodynamique
False,False,False,False,0,preventive,]72--[,]72--[,]72--[,True,True,False,False,True,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,]0-1],]0-1],]1-2],True,False,False,False,False,True,TMH - visite entretien appareil gaz
False,True,False,True,1,corrective,]72--[,]0-1],]72--[,True,True,False,False,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien Pompe à Chaleur (PAC)
False,False,True,False,1,corrective,]16-24],]1-2],]16-24],True,True,True,False,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,]1-2],]1-2],]2-4],True,True,True,False,False,False,TMH - visite entretien appareil gaz
False,False,True,False,3,corrective,]24-48],]0-1],]24-48],True,True,False,False,False,True,ALTEAL - dépannage chauffage
False,False,False,False,0,preventive,]4-16],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,0,0,0,True,False,True,False,True,False,TMH - visite entretien appareil gaz
False,True,False,False,1,corrective,]72--[,]1-2],]72--[,True,True,False,False,True,True,TMH - dépannage chauffage
False,False,True,False,1,corrective,]0-1],]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ballon thermodynamique
False,False,False,False,0,preventive,0,]4-16],]4-16],True,False,True,False,False,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,]0-1],]0-1],]0-1],True,True,False,False,False,False,TMH - visite entretien ballon thermodynamique
False,True,False,False,1,corrective,]4-16],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,]16-24],]1-2],]16-24],True,True,True,False,False,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ballon thermodynamique
False,False,False,False,0,preventive,]72--[,0,]72--[,False,True,False,False,False,False,TMH - visite entretien ballon solaire
False,False,False,False,0,preventive,]72--[,]24-48],]72--[,True,True,False,False,False,False,TMH - visite entretien appareil gaz
False,False,True,False,3,corrective,]24-48],]0-1],]24-48],True,True,False,False,False,True,ALTEAL - dépannage chauffage
False,False,True,False,3,corrective,]24-48],]0-1],]24-48],True,True,False,False,False,True,ALTEAL - dépannage chauffage
False,False,False,False,0,preventive,]16-24],0,]16-24],False,True,False,False,False,False,TMH - visite entretien ballon solaire
False,False,False,False,0,preventive,]16-24],0,]16-24],False,True,False,False,False,False,TMH - visite entretien ballon solaire
False,False,False,False,0,preventive,]0-1],]0-1],]1-2],True,True,False,False,False,False,TMH - visite entretien appareil gaz
False,False,True,False,1,corrective,]24-48],]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage chauffage
False,True,True,False,3,corrective,]24-48],]4-16],]48-72],True,True,True,False,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,]16-24],0,]16-24],False,True,False,False,False,False,TMH - visite entretien ballon solaire
False,False,False,False,0,preventive,0,0,0,False,False,False,False,False,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,]72--[,]24-48],]72--[,True,True,True,False,True,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,]72--[,]0-1],]72--[,True,True,False,False,False,False,TMH - visite entretien Pompe à Chaleur (PAC)
False,False,False,False,0,preventive,]72--[,0,]72--[,False,True,False,False,False,False,TMH - visite entretien appareil gaz
False,False,False,False,0,preventive,0,]4-16],]4-16],False,False,True,True,False,False,TMH - visite entretien appareil gaz
False,False,True,False,3,corrective,]24-48],]0-1],]24-48],True,True,False,False,False,True,ALTEAL - dépannage chauffage
False,True,False,False,0,corrective,]72--[,]4-16],]72--[,True,False,True,False,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,0,]72--[,]72--[,False,False,False,True,False,False,TMH - visite entretien appareil gaz
False,False,False,False,0,corrective,]1-2],]16-24],]16-24],True,False,True,False,False,True,TMH - dépannage chauffage
False,True,True,False,5,corrective,]4-16],0,]4-16],True,True,True,False,False,True,TMH - dépannage chauffage
False,False,True,False,1,corrective,]0-1],]0-1],]72--[,True,True,False,False,False,True,Dépannage
False,False,False,False,1,corrective,]1-2],]4-16],]4-16],True,True,False,False,False,True,TMH - dépannage chauffage
False,True,True,False,3,corrective,]4-16],]1-2],]4-16],True,True,True,False,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien Pompe à Chaleur (PAC)
False,False,False,False,0,preventive,]24-48],]0-1],]24-48],True,True,False,False,False,False,TMH - visite entretien ballon thermodynamique
False,True,False,False,1,corrective,]2-4],]1-2],]2-4],True,True,True,False,False,True,Dépannage
False,False,False,False,0,preventive,]2-4],]4-16],]4-16],True,True,False,False,False,False,TMH - visite entretien appareil gaz
False,False,False,False,1,corrective,]16-24],]48-72],]48-72],True,True,True,False,False,True,Dépannage
False,True,False,False,1,corrective,]24-48],]1-2],]24-48],True,True,True,False,False,True,Dépannage
False,True,True,False,3,corrective,]4-16],]0-1],]4-16],True,True,False,False,False,True,TMH - dépannage chauffage
False,True,False,True,1,corrective,]24-48],]72--[,]72--[,True,False,True,True,False,True,TMH - dépannage chauffage
False,False,False,False,0,preventive,]24-48],]1-2],]24-48],True,True,True,False,False,False,TMH - visite entretien appareil gaz
False,False,True,False,1,corrective,]72--[,]0-1],]72--[,True,True,True,False,False,True,Dépannage
False,False,False,False,0,preventive,]0-1],]0-1],]0-1],True,False,False,False,False,True,TMH - visite entretien appareil gaz
False,True,False,False,5,corrective,]16-24],]1-2],]16-24],True,True,True,False,False,True,Dépannage
