Boiler,Radiator,Fan,Water,Leak,criticalLevel,workType,responseTime,processingDuration,resolutionDuration,planned,occupant_absent,requested,canceled,Class
True,True,False,True,True,1,corrective,]2-4],]0-1],]2-4],True,False,True,False,Panne chauff ind
False,False,False,False,False,1,preventive,0,0,0,False,False,False,False,Visite entretien ventilation coll
False,False,False,False,True,1,corrective,]0-1],]0-1],]1-2],True,False,True,False,Panne Robinetterie
False,False,True,True,True,1,preventive,0,]1-2],]1-2],False,False,False,False,Visite entretien robinetterie
True,False,True,True,True,1,preventive,0,]4-16],]4-16],False,False,False,False,Visite entretien chaudière
False,False,False,False,False,1,corrective,]16-24],]0-1],]16-24],True,False,True,False,Panne VMC sanitaire
False,False,False,True,False,1,preventive,0,0,0,False,True,False,False,Visite entretien robinetterie
False,False,False,False,False,1,corrective,]0-1],]0-1],]1-2],True,False,True,False,Panne Robinetterie
True,False,False,True,True,1,preventive,0,0,0,False,False,False,False,Visite entretien chaudière
False,True,False,True,True,1,preventive,0,0,0,False,False,False,False,Visite entretien ventilation coll
False,False,False,True,True,5,corrective,]72--[,]1-2],]72--[,True,False,True,False,Panne Robinetterie
False,True,False,True,True,1,preventive,0,0,0,False,False,False,False,Visite entretien ventilation coll
True,False,False,False,False,1,corrective,0,0,0,True,False,True,False,Panne chauff ind
True,False,False,False,False,1,corrective,]24-48],]1-2],]24-48],True,False,True,True,Panne chauff ind
True,False,False,False,False,1,corrective,]4-16],]0-1],]4-16],True,True,True,False,Panne chauff ind
True,False,False,True,True,3,corrective,]16-24],]1-2],]16-24],True,False,True,False,Panne chauff ind
True,False,False,False,False,1,corrective,]48-72],]0-1],]48-72],True,False,True,True,Panne chauff ind
False,False,False,False,False,1,corrective,]72--[,]1-2],]72--[,True,False,True,False,Panne Solaire Thermique autres interventions
False,False,False,False,False,1,corrective,]72--[,]0-1],]72--[,True,False,True,False,Panne Solaire Thermique autres interventions
True,False,False,True,True,5,corrective,]48-72],]0-1],]48-72],True,False,True,False,Panne chauff ind
False,True,False,False,False,1,preventive,0,0,0,False,False,False,False,Visite entretien convecteur
False,False,True,False,False,1,corrective,]48-72],]1-2],]72--[,True,False,True,False,Panne VMC sanitaire
False,False,False,False,False,1,corrective,]72--[,]0-1],]72--[,True,False,True,False,Panne Electrique
True,True,False,True,True,1,preventive,0,]0-1],]0-1],False,False,False,False,Visite entretien chaudière
False,False,True,False,False,1,corrective,0,0,0,True,True,True,False,Panne VMC sanitaire
True,False,False,True,True,1,preventive,0,0,0,False,False,False,False,Visite entretien chaudière
False,False,False,False,False,1,corrective,]0-1],]0-1],]0-1],True,False,True,False,Panne Robinetterie
False,True,False,False,False,1,preventive,0,0,0,False,False,False,False,Visite entretien convecteur
False,False,False,True,True,5,corrective,]72--[,]0-1],]72--[,True,False,True,False,Panne Robinetterie
False,False,True,True,False,1,preventive,0,0,0,False,False,False,False,Visite entretien ventilation ind
False,False,False,False,False,1,corrective,]72--[,]0-1],]72--[,True,False,True,False,Panne Electrique
False,False,False,False,False,1,preventive,0,0,0,False,False,False,False,Visite entretien ventilation coll
True,False,False,False,False,3,corrective,]72--[,]0-1],]72--[,True,True,True,True,Panne chauff ind
False,False,False,False,False,3,corrective,0,0,0,True,True,True,True,Panne Robinetterie
True,False,False,False,False,1,corrective,]72--[,]1-2],]72--[,True,False,True,False,Panne chauff ind
False,False,False,False,False,1,preventive,0,0,0,False,False,False,False,Visite entretien ventilation coll
True,False,False,False,False,1,corrective,]72--[,]4-16],]72--[,True,False,True,False,Panne chauff ind
True,False,False,False,False,1,corrective,0,0,0,True,True,True,True,Panne chauff ind
False,False,True,False,False,1,corrective,]48-72],]1-2],]72--[,True,False,True,False,Panne VMC sanitaire
