Boiler,Fan,Water,Leak,criticalLevel,workType,responseTime,processingDuration,resolutionDuration,start,done,planned,end,requested,class
True,False,False,False,one,preventive,0,0,0,True,True,False,True,False,VP P2_Chauffage indivuduel
True,False,False,False,one,corrective,0,]0-1],]24-48],True,True,True,True,True,Chaudière sur devis
True,False,False,False,one,corrective,]24-48],]0-1],]24-48],True,True,False,True,True,Remplacement pièce P3
False,False,False,False,one,preventive,0,0,0,False,False,False,False,False,Visite d'entretien annuelle - Ent. Dispositif Sécurité Collectif
True,False,True,True,five,corrective,]72--[,]1-2],]72--[,True,True,True,True,True,Dépannage P2_Chauffage individuel
True,False,False,False,one,corrective,]72--[,]0-1],]72--[,True,True,True,True,True,Dépannage P2_Chauffage individuel
True,False,False,False,one,corrective,0,]1-2],]1-2],True,True,False,True,False,Dépannage P2_Chauffage individuel
True,False,False,False,one,corrective,]24-48],]0-1],]24-48],True,True,True,True,True,Dépannage P2_Chauffage individuel
True,False,False,False,one,corrective,]48-72],]0-1],]72--[,True,True,True,True,True,Dépannage P2_Chauffage individuel
False,False,False,False,one,preventive,0,0,0,False,False,False,False,False,Visite d'entretien annuelle - Ent. Dispositif Sécurité Collectif
False,False,False,False,one,preventive,0,0,0,False,False,False,False,False,Visite d'entretien annuelle - Ent. Dispositif Sécurité Collectif
False,True,False,False,one,preventive,0,]0-1],]0-1],True,True,False,True,False,VP Caisson gaz
True,False,False,False,one,corrective,]24-48],]1-2],]24-48],True,True,True,True,True,Remplacement pièce P3
False,True,False,False,one,preventive,0,0,0,False,False,False,False,False,VP Caisson gaz
False,True,False,False,one,preventive,0,]0-1],]0-1],True,True,False,True,False,VP Caisson gaz
False,True,False,False,one,preventive,0,]1-2],]1-2],True,True,False,True,False,VP Caisson san.
False,True,False,False,one,corrective,0,]0-1],]1-2],True,True,True,True,True,Dépannage_VMC Gaz
True,False,True,True,one,preventive,0,]1-2],]1-2],True,True,False,True,False,VP P2_Chauffage indivuduel
False,True,False,False,one,preventive,0,]0-1],]0-1],True,True,False,True,False,VP Caisson gaz
False,True,False,False,one,preventive,0,]0-1],]0-1],True,True,False,True,False,VP Caisson gaz
True,False,False,False,one,corrective,]48-72],]2-4],]48-72],True,True,True,True,True,Dépannage P2_Chauffage individuel
True,False,False,False,one,corrective,]24-48],]0-1],]48-72],True,True,True,True,True,Remplacement pièce P3
False,False,False,False,one,preventive,0,0,0,False,False,False,False,False,VP Nett reseau et bouche
False,False,False,False,one,corrective,0,]0-1],0,True,True,True,True,True,Bouche auto_SDB
False,False,False,False,one,corrective,0,]0-1],]0-1],True,True,True,True,True,Bouche auto_Cuisine
False,False,False,False,one,preventive,0,0,0,False,False,False,False,False,Visite d'entretien annuelle - Ent. Dispositif Sécurité Collectif
False,True,False,False,one,preventive,0,]0-1],]0-1],True,True,False,True,False,VP Caisson gaz
True,False,False,False,one,corrective,]16-24],]2-4],]16-24],True,True,True,True,True,Dépannage P2_Chauffage individuel
True,False,False,False,one,corrective,]0-1],]0-1],]2-4],True,True,True,True,True,Remplacement pièce P3
False,True,False,False,one,preventive,0,]1-2],]1-2],True,True,False,True,False,VP Caisson san.
False,False,False,False,one,corrective,]72--[,]0-1],]72--[,True,True,True,True,True,Bouche auto_Cuisine
True,False,False,False,one,corrective,0,]0-1],]24-48],True,True,True,True,True,Chaudière sur devis
False,False,False,False,one,corrective,]72--[,]0-1],]72--[,True,True,True,True,True,Bouche hydro_SDB
True,False,False,False,one,corrective,]1-2],]0-1],]2-4],True,True,True,True,True,Remplacement pièce P3
False,False,False,False,one,preventive,0,0,0,False,False,False,False,False,Ramonage P2_Chaudière individuel
True,False,False,False,one,corrective,0,0,0,False,False,True,False,True,Dépannage P2_Chauffage individuel
False,True,False,False,one,preventive,0,0,0,False,False,False,False,False,VP Nett reseau et bouche
False,True,False,False,one,preventive,0,]0-1],]0-1],True,True,False,True,False,VP Nett reseau et bouche
False,False,False,False,one,corrective,]72--[,]0-1],]72--[,True,True,True,True,True,Bouche hydro_SDB
True,True,False,False,one,corrective,]72--[,]2-4],]72--[,True,True,True,True,True,Dépannage P2_Chauffage individuel
False,True,False,False,one,corrective,]16-24],]0-1],]24-48],True,True,True,True,True,Caisson ventil manch
True,False,False,False,one,corrective,]48-72],]0-1],]24-48],True,True,True,True,True,Remplacement pièce P3
True,False,False,False,one,corrective,]0-1],]0-1],]2-4],True,True,True,True,True,Remplacement pièce P3
False,False,False,False,one,corrective,]24-48],]0-1],]24-48],True,True,True,True,True,Bouche auto_Cuisine
