Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,63.69,7.22,59.65,27.84,62.29,70.59,20.18,61.11
accf,84.39,36.08,79.82,58.76,80.13,70.59,42.20,90.48
acn,84.39,40.21,79.82,59.79,79.80,70.59,42.20,90.48
adt,86.18,40.21,48.25,0.00,0.00,70.59,42.20,57.54
cba,84.71,40.21,72.81,48.45,79.80,66.67,42.20,91.27
cba2,84.90,29.90,68.42,36.08,77.78,56.86,33.03,87.70
cmar,71.34,0.00,52.63,49.48,54.88,52.94,25.69,62.30
cpar,84.71,29.90,78.95,36.00,8.08,70.00,28.44,91.67
L3,84.59,21.65,79.82,52.58,79.80,70.59,35.78,91.27
mac,84.71,40.21,79.82,59.79,73.74,70.59,42.20,91.27
carrt,84.39,19.58,79.84,47.42,78.11,68.63,33.95,91.66
