Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,66.88,47.06,75.44,34.02,50.77,70.59,51.38,57.54
accf,84.71,58.82,79.82,59.79,68.01,70.59,58.72,90.87
acn,84.39,55.88,79.82,58.76,65.90,70.59,54.13,90.87
adt,46.82,47.06,48.25,0.00,44.06,70.59,42.20,57.54
cba,84.08,63.24,85.09,52.58,73.37,66.67,67.89,90.87
cba2,78.66,55.15,85.09,43.30,78.93,56.86,71.56,84.92
cmar,71.34,58.09,65.79,27.84,25.86,52.94,48.62,59.52
cpar,84.71,65.44,88.60,38.00,26.00,45.00,66.06,91.67
L3,84.08,65.44,85.96,59.79,75.10,74.51,67.89,91.27
mac,84.71,59.56,85.09,56.70,65.52,70.59,66.06,91.67
carrt,84.39,64.70,84.21,50.51,76.09,68.62,50.45,91.66
