Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,44.06,13.56,48.54,41.57,64.03,52.78,19.34,10.97
accf,62.64,42.59,83.63,63.48,79.66,56.94,56.38,10.97
acn,59.20,31.86,75.44,61.24,79.66,52.78,28.81,10.97
adt,45.21,60.25,49.12,43.26,0.00,0.00,52.26,0.00
cba,71.84,34.07,86.55,73.03,9.00,68.06,37.86,0.25
cba2,81.03,72.24,83.63,71.91,9.39,68.06,76.95,2.74
cmar,59.77,13.88,52.05,27.53,57.98,15.28,25.51,0.00
cpar,71.84,68.45,87.13,3.37,8.24,69.44,65.43,5.99
L3,74.33,42.27,84.21,66.29,13.22,68.06,60.91,10.97
mac,65.13,32.81,82.46,58.43,73.61,70.83,36.21,10.97
carrt,74.32,48.89,79.53,59.55,63.60,54.16,58.84,77.55
