Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,4.52,4.70,12.74,17.53,8.47,17.65,3.35,8.92
accf,18.75,3.37,44.57,16.62,44.48,17.65,3.00,30.37
acn,18.75,4.45,44.57,16.61,43.66,17.65,3.01,30.37
adt,70.85,2.68,8.04,4.77,8.47,17.65,3.01,9.59
cba,29.92,4.12,49.88,18.92,43.66,23.80,4.58,30.67
cba2,41.07,4.22,44.07,18.85,46.14,25.44,5.39,30.29
cmar,16.15,4.88,17.43,19.44,25.61,21.61,3.35,27.08
cpar,29.92,5.34,45.00,20.00,1.99,22.00,6.18,30.68
L3,18.81,4.42,44.57,16.63,44.53,17.65,3.38,30.58
mac,17.76,3.84,44.57,16.61,43.42,17.65,4.75,30.58
carrt,25.38,3.09,44.57,16.61,45.52,30.21,6.19,30.66
