Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,5.21,3.08,25.39,8.94,43.07,17.65,3.01,8.92
accf,21.17,13.27,44.73,16.70,63.52,17.65,11.68,30.47
acn,21.11,7.34,44.57,16.71,53.95,17.65,7.10,30.56
adt,5.85,3.14,8.04,0.00,73.49,17.65,3.01,9.59
cba,21.07,11.25,61.60,21.62,69.44,22.93,13.00,30.65
cba2,27.59,17.73,56.50,23.97,76.15,23.56,27.22,29.75
cmar,18.67,7.33,46.62,15.52,26.30,17.31,8.49,27.08
cpar,21.17,15.83,59.64,16.41,29.19,30.07,12.31,30.68
L3,21.07,18.46,59.34,32.65,71.90,43.37,17.67,30.58
mac,21.17,7.90,57.26,18.83,62.24,17.65,13.32,30.68
carrt,25.38,24.94,56.14,23.77,45.52,17.50,17.74,30.68
