Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,18.52,13.05,21.33,25.53,7.29,11.33,7.96,2.53
accf,44.25,45.19,86.02,63.60,37.70,53.12,49.40,1.85
acn,35.94,16.02,77.73,56.87,37.68,52.12,14.36,1.96
adt,83.84,80.40,86.20,86.14,7.27,12.50,83.43,0.00
cba,51.11,23.92,89.01,75.42,2.73,68.75,19.54,0.07
cba2,80.46,77.38,83.79,76.05,19.48,68.75,78.34,0.73
cmar,40.34,17.08,61.69,19.43,24.26,28.17,15.38,0.00
cpar,63.52,69.65,89.82,4.41,3.19,76.07,61.88,1.40
L3,59.01,61.29,83.65,68.28,2.89,68.67,64.18,1.89
mac,39.64,23.61,84.85,59.63,37.22,67.75,18.38,1.83
carrt,77.69,54.15,86.24,68.41,62.33,48.65,53.57,39.94
