Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,5.52,13.35,9.64,9.94,7.17,34.38,2.47,8.38
accf,44.25,45.15,86.02,63.58,37.70,53.12,53.27,1.85
acn,35.94,15.57,77.73,56.87,37.68,52.12,17.53,1.96
adt,83.84,80.40,86.20,86.14,7.27,12.50,83.43,0.00
cba,51.11,35.54,89.01,75.42,2.73,68.75,29.59,0.07
cba2,80.46,77.38,83.79,76.05,19.48,68.75,78.34,0.73
cmar,32.22,6.48,59.28,27.82,25.85,38.92,15.81,0.00
cpar,63.52,69.65,89.82,4.41,3.19,76.07,61.88,1.40
L3,59.01,70.11,83.65,68.28,2.89,68.67,67.08,1.89
mac,39.64,14.93,84.85,59.63,37.22,67.75,23.60,1.83
carrt,65.04,42.54,87.36,73.96,69.89,76.84,64.80,55.89
