Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,0.12,0.31,0.13,0.10,0.49,0.24,0.20,0.19
accf,0.63,0.57,0.84,0.63,0.80,0.57,0.62,0.11
acn,0.59,0.39,0.75,0.61,0.80,0.53,0.42,0.11
adt,0.45,0.61,0.49,0.43,0.51,0.50,0.52,0.00
cba,0.72,0.56,0.87,0.73,0.09,0.68,0.57,0.00
cba2,0.81,0.73,0.84,0.72,0.09,0.68,0.77,0.03
cmar,0.42,0.19,0.52,0.24,0.52,0.38,0.36,0.00
cpar,0.72,0.68,0.87,0.03,0.08,0.69,0.65,0.06
L3,0.74,0.69,0.85,0.66,0.13,0.71,0.74,0.11
mac,0.65,0.43,0.82,0.60,0.74,0.71,0.49,0.11
