Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,0.11,0.33,0.59,32.99,0.38,0.57,0.42,0.31
accf,0.84,0.34,0.80,57.73,0.80,0.71,0.41,0.90
acn,0.84,0.36,0.80,59.79,0.80,0.71,0.42,0.90
adt,0.86,0.40,0.48,38.14,0.51,0.71,0.42,0.58
cba,0.85,0.42,0.73,48.45,0.80,0.67,0.44,0.91
cba2,0.85,0.27,0.68,36.08,0.78,0.57,0.33,0.88
cmar,0.76,0.39,0.39,26.80,0.36,0.57,0.31,0.52
cpar,0.85,0.30,0.79,0.00,0.08,0.00,0.28,0.92
L3,0.85,0.33,0.78,56.70,0.80,0.71,0.41,0.91
mac,0.78,0.40,0.80,0.60,0.74,0.71,0.42,0.91
carrt,0.85,0.41,0.79,0.60,0.76,0.67,0.40,0.91
