Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,0.37,0.40,0.60,0.36,0.46,0.71,0.42,0.48
accf,0.85,0.59,0.80,0.60,0.68,0.71,0.59,0.91
acn,0.84,0.56,0.80,0.59,0.66,0.71,0.54,0.91
adt,0.47,0.47,0.48,0.00,0.44,0.71,0.42,0.58
cba,0.84,0.63,0.85,0.53,0.73,0.67,0.68,0.91
cba2,0.79,0.55,0.85,0.43,0.79,0.57,0.72,0.85
cmar,0.71,0.58,0.66,0.28,0.26,0.53,0.49,0.60
cpar,0.85,0.65,0.89,0.00,0.00,0.00,0.66,0.92
L3,0.84,0.65,0.87,0.60,0.75,0.75,0.67,0.91
mac,0.85,0.60,0.85,0.57,0.66,0.71,0.66,0.92
carrt,0.85,0.65,0.85,0.51,0.76,0.69,0.51,0.92
