Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,0.24,0.12,0.41,0.34,0.23,0.45,0.05,0.02
accf,0.44,0.34,0.86,0.64,0.38,0.53,0.50,0.02
acn,0.36,0.14,0.78,0.57,0.38,0.52,0.13,0.02
adt,0.84,0.80,0.86,0.86,0.00,0.00,0.83,0.00
cba,0.51,0.17,0.89,0.75,0.03,0.69,0.15,0.00
cba2,0.80,0.77,0.84,0.76,0.19,0.69,0.78,0.01
cmar,0.36,0.15,0.58,0.24,0.31,0.23,0.15,0.00
cpar,0.64,0.70,0.90,0.04,0.03,0.76,0.62,0.01
L3,0.59,0.45,0.87,0.70,0.03,0.69,0.66,0.02
mac,0.40,0.16,0.85,0.62,0.37,0.68,0.14,0.02
